ID;palavra;categoria;número de sílabas;classificação por número de sílabas;acento;tipo de acento;peso palavra;dificuldade
152;mal;sílabas CVC;1.0;Monossílaba;0.0;;5.0;médio
153;mar;sílabas CVC;1.0;Monossílaba;0.0;;5.0;médio
154;mel;sílabas CVC;1.0;Monossílaba;0.0;;5.0;médio
155;menor;sílabas CVC;2.0;Dissílaba;0.0;;6.0;difícil
156;metal;sílabas CVC;2.0;Dissílaba;0.0;;6.0;difícil
157;motor;sílabas CVC;2.0;Dissílaba;0.0;;6.0;difícil
158;papel;sílabas CVC;2.0;Dissílaba;0.0;;6.0;difícil
159;paz;sílabas CVC;1.0;Monossílaba;0.0;;5.0;médio
160;poder;sílabas CVC;2.0;Dissílaba;0.0;;6.0;difícil
161;portal;sílabas CVC;2.0;Dissílaba;0.0;;6.0;difícil
162;saber;sílabas CVC;2.0;Dissílaba;0.0;;6.0;difícil
163;sal;sílabas CVC;1.0;Monossílaba;0.0;;5.0;médio
164;sim;sílabas CVC;1.0;Monossílaba;0.0;;5.0;médio
165;sol;sílabas CVC;1.0;Monossílaba;0.0;;5.0;médio
166;tal;sílabas CVC;1.0;Monossílaba;0.0;;5.0;médio
167;tambor;sílabas CVC;2.0;Dissílaba;0.0;;6.0;difícil
168;tem;sílabas CVC;1.0;Monossílaba;0.0;;5.0;médio
169;valor;sílabas CVC;2.0;Dissílaba;0.0;;6.0;difícil
170;vez;sílabas CVC;1.0;Monossílaba;0.0;;5.0;médio
171;viver;sílabas CVC;2.0;Dissílaba;0.0;;6.0;difícil
172;voz;sílabas CVC;1.0;Monossílaba;0.0;;5.0;médio
173;pastel;sílabas CVC;2.0;Dissílaba;0.0;;6.0;difícil
174;bloco;sílabas CCV;2.0;Dissílaba;0.0;;6.0;difícil
175;blusa;sílabas CCV;2.0;Dissílaba;0.0;;6.0;difícil
176;brasa;sílabas CCV;2.0;Dissílaba;0.0;;6.0;difícil
177;bravo;sílabas CCV;2.0;Dissílaba;0.0;;6.0;difícil
178;breve;sílabas CCV;2.0;Dissílaba;0.0;;6.0;difícil
179;briga;sílabas CCV;2.0;Dissílaba;0.0;;6.0;difícil
180;broto;sílabas CCV;2.0;Dissílaba;0.0;;6.0;difícil
181;claro;sílabas CCV;2.0;Dissílaba;0.0;;6.0;difícil
182;clima;sílabas CCV;2.0;Dissílaba;0.0;;6.0;difícil
183;cravo;sílabas CCV;2.0;Dissílaba;0.0;;6.0;difícil
184;creme;sílabas CCV;2.0;Dissílaba;0.0;;6.0;muito difícil
185;cria;sílabas CCV;1.0;Monossílaba;0.0;;5.0;médio
186;cruzeiro;sílabas CCV;3.0;Trissílaba;0.0;;7.0;muito difícil
